target;prdtypecode;prodtype
0;10;livres_adulte
24;40;jeux_videos_import
25;50;accessoires_jeux_videos
26;60;jeux_et_consoles_retro
1;1140;goodies_geek
2;1160;cartes_a_jouer
3;1180;figurines_wargames
4;1280;jouets_enfance
5;1281;jeux_societe
6;1300;modeles_reduits_ou_telecommandes
7;1301;materiel_enfance
8;1302;jouets_enfants
9;1320;petite_enfance
10;1560;mobilier_interieur_litterie
11;1920;accessoires_interieur
12;1940;nourriture
13;2060;decoration_interieur
14;2220;pour_animau
15;2280;magazines
16;2403;livres_jeunesse
17;2462;jeux_geek
18;2522;papeterie
19;2582;mobilier_jardin_cuisine
20;2583;piscine_spa
21;2585;jardin_bricolage
22;2705;livres_et_illustres
23;2905;jeux_videos_dematerialises
